Date,Site,#,CW,Color,boat,boat+wet,boat+dry,bag,bag+pre,bag+post,crucible,cruc+pre,cruc+post
5/16/22,Bristol,1,15.9,3,1077.46,1191.373,1155.083,185.429,261.632,259.750,2954.304,3032.314,2963.319
5/16/22,Bristol,2,21.0,4,1077.742,1439.037,1269.358,185.785,376.762,372.193,2832.693,3023.149,2854.505
5/16/22,Bristol,3,26.0,4,1128.306,1820.272,1453.978,185.348,511.054,507.269,2466.933,2794.160,2505.757
5/16/22,Bristol,4,23.9,4,1134.837,1664.703,1410.396,185.747,460.824,456.947,2873.519,3149.234,2906.472
5/16/22,Bristol,5,19.0,3,1056.199,1374.700,1208.663,186.329,338.057,336.112,2526.226,2679.769,2541.536
5/16/22,Bristol,6,27.0,3,1107.904,1833.277,1454.692,185.644,532.217,527.557,2767.835,3143.980,2835.622
5/16/22,Bristol,7,14.6,3,1048.710,1167.272,1129.604,185.214,265.193,263.737,2970.875,3052.554,2979.889
5/16/22,Bristol,8,20.6,3,1072.387,1423.123,1259.419,196.262,382.501,380.548,3000.150,3187.772,3016.610
5/16/22,Bristol,9,20.1,2,1063.366,1303.220,1195.680,191.458,323.577,321.587,2764.543,2898.903,2778.587
5/16/22,Bristol,10,16.2,2,1055.389,1200.265,1132.839,193.076,269.295,268.625,2751.725,2829.757,2756.760
5/16/22,Bristol,11,16.0,3,1125.369,1277.465,1208.424,186.590,268.624,267.764,2564.293,2648.093,2568.550
5/16/22,Bristol,12,17.5,4,1055.533,1282.401,1173.308,191.713,308.292,307.424,2586.238,2704.496,2598.010
5/16/22,Bristol,13,17.1,3,1119.998,1282.401,1207.740,193.793,280.849,279.696,2888.297,2977.097,2894.267
5/16/22,Bristol,14,19.5,3,1055.466,1372.975,1215.924,193.666,353.084,351.420,2909.273,3070.017,2924.485
5/16/22,Bristol,15,17.5,3,1093.410,1284.664,1193.652,195.362,294.661,294.034,2720.597,2821.785,2723.719
5/16/22,Bristol,16,15.5,2,1090.605,1181.491,1155.535,194.047,267.861,265.855,2954.264,3019.180,2961.201
5/16/22,Bristol,17,24.5,3,1129.788,1804.494,1463.457,187.226,522.263,520.785,2833.759,3169.725,2881.700
5/16/22,Bristol,18,13.0,3,1108.519,1201.367,1162.294,187.242,240.040,239.308,2468.414,2522.256,2471.778
